// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\ed488aea-bfaa-4bf1-aa38-4d062833db56
// command took 1.56s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\ed488aea-bfaa-4bf1-aa38-4d062833db56
// command took 2.91s and exited with 0
// ***** Done, took 00:00:04 (4.63 sec)   *****
// Found 2 benchmarks:
//   Runner.TestStruct: DefaultJob [N=1000]
//   Runner.TestStructObject: DefaultJob [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Runner.TestStruct: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ed488aea-bfaa-4bf1-aa38-4d062833db56.dll" --benchmarkName "BoxingBenchmark.Runner.TestStruct(N: 1000)" --job "Default" --benchmarkId 0 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\ed488aea-bfaa-4bf1-aa38-4d062833db56\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadActual  12: 8192 op, 850991700.00 ns, 103.8808 us/op
WorkloadActual  13: 8192 op, 843630600.00 ns, 102.9823 us/op
WorkloadActual  14: 8192 op, 837692600.00 ns, 102.2574 us/op
WorkloadActual  15: 8192 op, 812378100.00 ns, 99.1672 us/op

// AfterActualRun
WorkloadResult   1: 8192 op, 817233200.00 ns, 99.7599 us/op
WorkloadResult   2: 8192 op, 838371100.00 ns, 102.3402 us/op
WorkloadResult   3: 8192 op, 832301900.00 ns, 101.5994 us/op
WorkloadResult   4: 8192 op, 836056300.00 ns, 102.0577 us/op
WorkloadResult   5: 8192 op, 841209200.00 ns, 102.6867 us/op
WorkloadResult   6: 8192 op, 810065600.00 ns, 98.8850 us/op
WorkloadResult   7: 8192 op, 846196700.00 ns, 103.2955 us/op
WorkloadResult   8: 8192 op, 818879300.00 ns, 99.9609 us/op
WorkloadResult   9: 8192 op, 809278200.00 ns, 98.7888 us/op
WorkloadResult  10: 8192 op, 840514100.00 ns, 102.6018 us/op
WorkloadResult  11: 8192 op, 834668300.00 ns, 101.8882 us/op
WorkloadResult  12: 8192 op, 850977700.00 ns, 103.8791 us/op
WorkloadResult  13: 8192 op, 843616600.00 ns, 102.9805 us/op
WorkloadResult  14: 8192 op, 837678600.00 ns, 102.2557 us/op
WorkloadResult  15: 8192 op, 812364100.00 ns, 99.1655 us/op
GC:  480 241 240 1551237120 8192

// AfterAll

Mean = 101.4763 us, StdErr = 0.4390 us (0.43%); N = 15, StdDev = 1.7003 us
Min = 98.7888 us, Q1 = 99.7599 us, Median = 102.0577 us, Q3 = 102.6867 us, Max = 103.8791 us
IQR = 2.9268 us, LowerFence = 95.3698 us, UpperFence = 107.0768 us
ConfidenceInterval = [99.6586 us; 103.2940 us] (CI 99.9%), Margin = 1.8177 us (1.79% of Mean)
Skewness = -0.4, Kurtosis = 1.55, MValue = 2

// **************************
// Benchmark: Runner.TestStructObject: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ed488aea-bfaa-4bf1-aa38-4d062833db56.dll" --benchmarkName "BoxingBenchmark.Runner.TestStructObject(N: 1000)" --job "Default" --benchmarkId 1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\ed488aea-bfaa-4bf1-aa38-4d062833db56\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 291900.00 ns, 291.9000 us/op
WorkloadJitting  1: 1 op, 1125800.00 ns, 1.1258 ms/op

OverheadJitting  2: 16 op, 451700.00 ns, 28.2313 us/op
WorkloadJitting  2: 16 op, 3268200.00 ns, 204.2625 us/op

WorkloadPilot    1: 16 op, 1761900.00 ns, 110.1188 us/op
WorkloadPilot    2: 32 op, 3663600.00 ns, 114.4875 us/op
WorkloadPilot    3: 64 op, 7172500.00 ns, 112.0703 us/op
WorkloadPilot    4: 128 op, 16610800.00 ns, 129.7719 us/op
WorkloadPilot    5: 256 op, 28255100.00 ns, 110.3715 us/op
WorkloadPilot    6: 512 op, 49040700.00 ns, 95.7826 us/op
WorkloadPilot    7: 1024 op, 90561000.00 ns, 88.4385 us/op
WorkloadPilot    8: 2048 op, 180705500.00 ns, 88.2351 us/op
WorkloadPilot    9: 4096 op, 356220400.00 ns, 86.9679 us/op
WorkloadPilot   10: 8192 op, 706880800.00 ns, 86.2892 us/op

OverheadWarmup   1: 8192 op, 16400.00 ns, 2.0020 ns/op
OverheadWarmup   2: 8192 op, 15900.00 ns, 1.9409 ns/op
OverheadWarmup   3: 8192 op, 13900.00 ns, 1.6968 ns/op
OverheadWarmup   4: 8192 op, 13500.00 ns, 1.6479 ns/op
OverheadWarmup   5: 8192 op, 14100.00 ns, 1.7212 ns/op
OverheadWarmup   6: 8192 op, 13600.00 ns, 1.6602 ns/op
OverheadWarmup   7: 8192 op, 13500.00 ns, 1.6479 ns/op
OverheadWarmup   8: 8192 op, 13400.00 ns, 1.6357 ns/op
OverheadWarmup   9: 8192 op, 13500.00 ns, 1.6479 ns/op
OverheadWarmup  10: 8192 op, 13500.00 ns, 1.6479 ns/op

OverheadActual   1: 8192 op, 35300.00 ns, 4.3091 ns/op
OverheadActual   2: 8192 op, 13900.00 ns, 1.6968 ns/op
OverheadActual   3: 8192 op, 13900.00 ns, 1.6968 ns/op
OverheadActual   4: 8192 op, 14000.00 ns, 1.7090 ns/op
OverheadActual   5: 8192 op, 33300.00 ns, 4.0649 ns/op
OverheadActual   6: 8192 op, 14100.00 ns, 1.7212 ns/op
OverheadActual   7: 8192 op, 13900.00 ns, 1.6968 ns/op
OverheadActual   8: 8192 op, 13500.00 ns, 1.6479 ns/op
OverheadActual   9: 8192 op, 13500.00 ns, 1.6479 ns/op
OverheadActual  10: 8192 op, 13400.00 ns, 1.6357 ns/op
OverheadActual  11: 8192 op, 13400.00 ns, 1.6357 ns/op
OverheadActual  12: 8192 op, 13400.00 ns, 1.6357 ns/op
OverheadActual  13: 8192 op, 14200.00 ns, 1.7334 ns/op
OverheadActual  14: 8192 op, 14500.00 ns, 1.7700 ns/op
OverheadActual  15: 8192 op, 13500.00 ns, 1.6479 ns/op

WorkloadWarmup   1: 8192 op, 753870100.00 ns, 92.0252 us/op
WorkloadWarmup   2: 8192 op, 706539300.00 ns, 86.2475 us/op
WorkloadWarmup   3: 8192 op, 703221800.00 ns, 85.8425 us/op
WorkloadWarmup   4: 8192 op, 702192900.00 ns, 85.7169 us/op
WorkloadWarmup   5: 8192 op, 763050900.00 ns, 93.1459 us/op
WorkloadWarmup   6: 8192 op, 772564800.00 ns, 94.3072 us/op
WorkloadWarmup   7: 8192 op, 752830200.00 ns, 91.8982 us/op
WorkloadWarmup   8: 8192 op, 844065000.00 ns, 103.0353 us/op
WorkloadWarmup   9: 8192 op, 829916900.00 ns, 101.3082 us/op

// BeforeActualRun
WorkloadActual   1: 8192 op, 894370500.00 ns, 109.1761 us/op
WorkloadActual   2: 8192 op, 1023904200.00 ns, 124.9883 us/op
WorkloadActual   3: 8192 op, 1020234200.00 ns, 124.5403 us/op
WorkloadActual   4: 8192 op, 992104900.00 ns, 121.1066 us/op
WorkloadActual   5: 8192 op, 875934500.00 ns, 106.9256 us/op
WorkloadActual   6: 8192 op, 923965600.00 ns, 112.7888 us/op
WorkloadActual   7: 8192 op, 798080900.00 ns, 97.4220 us/op
WorkloadActual   8: 8192 op, 725821200.00 ns, 88.6012 us/op
WorkloadActual   9: 8192 op, 721930900.00 ns, 88.1263 us/op
WorkloadActual  10: 8192 op, 707092500.00 ns, 86.3150 us/op
WorkloadActual  11: 8192 op, 736664700.00 ns, 89.9249 us/op
WorkloadActual  12: 8192 op, 706089100.00 ns, 86.1925 us/op
WorkloadActual  13: 8192 op, 702566000.00 ns, 85.7625 us/op
WorkloadActual  14: 8192 op, 704303600.00 ns, 85.9746 us/op
WorkloadActual  15: 8192 op, 707919500.00 ns, 86.4160 us/op
WorkloadActual  16: 8192 op, 701953100.00 ns, 85.6876 us/op
WorkloadActual  17: 8192 op, 705560800.00 ns, 86.1280 us/op
WorkloadActual  18: 8192 op, 704313900.00 ns, 85.9758 us/op
WorkloadActual  19: 8192 op, 707998100.00 ns, 86.4255 us/op
WorkloadActual  20: 8192 op, 704806100.00 ns, 86.0359 us/op
WorkloadActual  21: 8192 op, 705491400.00 ns, 86.1196 us/op
WorkloadActual  22: 8192 op, 716412700.00 ns, 87.4527 us/op
WorkloadActual  23: 8192 op, 705226800.00 ns, 86.0873 us/op
WorkloadActual  24: 8192 op, 704873400.00 ns, 86.0441 us/op
WorkloadActual  25: 8192 op, 703809800.00 ns, 85.9143 us/op
WorkloadActual  26: 8192 op, 705600500.00 ns, 86.1329 us/op
WorkloadActual  27: 8192 op, 713440500.00 ns, 87.0899 us/op
WorkloadActual  28: 8192 op, 706417300.00 ns, 86.2326 us/op
WorkloadActual  29: 8192 op, 711304400.00 ns, 86.8292 us/op

// AfterActualRun
WorkloadResult   1: 8192 op, 798067000.00 ns, 97.4203 us/op
WorkloadResult   2: 8192 op, 725807300.00 ns, 88.5995 us/op
WorkloadResult   3: 8192 op, 721917000.00 ns, 88.1246 us/op
WorkloadResult   4: 8192 op, 707078600.00 ns, 86.3133 us/op
WorkloadResult   5: 8192 op, 736650800.00 ns, 89.9232 us/op
WorkloadResult   6: 8192 op, 706075200.00 ns, 86.1908 us/op
WorkloadResult   7: 8192 op, 702552100.00 ns, 85.7608 us/op
WorkloadResult   8: 8192 op, 704289700.00 ns, 85.9729 us/op
WorkloadResult   9: 8192 op, 707905600.00 ns, 86.4143 us/op
WorkloadResult  10: 8192 op, 701939200.00 ns, 85.6859 us/op
WorkloadResult  11: 8192 op, 705546900.00 ns, 86.1263 us/op
WorkloadResult  12: 8192 op, 704300000.00 ns, 85.9741 us/op
WorkloadResult  13: 8192 op, 707984200.00 ns, 86.4239 us/op
WorkloadResult  14: 8192 op, 704792200.00 ns, 86.0342 us/op
WorkloadResult  15: 8192 op, 705477500.00 ns, 86.1179 us/op
WorkloadResult  16: 8192 op, 716398800.00 ns, 87.4510 us/op
WorkloadResult  17: 8192 op, 705212900.00 ns, 86.0856 us/op
WorkloadResult  18: 8192 op, 704859500.00 ns, 86.0424 us/op
WorkloadResult  19: 8192 op, 703795900.00 ns, 85.9126 us/op
WorkloadResult  20: 8192 op, 705586600.00 ns, 86.1312 us/op
WorkloadResult  21: 8192 op, 713426600.00 ns, 87.0882 us/op
WorkloadResult  22: 8192 op, 706403400.00 ns, 86.2309 us/op
WorkloadResult  23: 8192 op, 711290500.00 ns, 86.8275 us/op
GC:  512 0 0 1623785472 8192

// AfterAll

Mean = 87.0805 us, StdErr = 0.5165 us (0.59%); N = 23, StdDev = 2.4769 us
Min = 85.6859 us, Q1 = 86.0342 us, Median = 86.1908 us, Q3 = 87.0882 us, Max = 97.4203 us
IQR = 1.0540 us, LowerFence = 84.4532 us, UpperFence = 88.6692 us
ConfidenceInterval = [85.1220 us; 89.0390 us] (CI 99.9%), Margin = 1.9585 us (2.25% of Mean)
Skewness = 3.19, Kurtosis = 13.31, MValue = 2

Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\BoxingBenchmark.Runner-report.csv
  BenchmarkDotNet.Artifacts\results\BoxingBenchmark.Runner-report-github.md
  BenchmarkDotNet.Artifacts\results\BoxingBenchmark.Runner-report.html

// * Detailed results *
Runner.TestStruct: DefaultJob [N=1000]
Runtime = .NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 101.4763 us, StdErr = 0.4390 us (0.43%); N = 15, StdDev = 1.7003 us
Min = 98.7888 us, Q1 = 99.7599 us, Median = 102.0577 us, Q3 = 102.6867 us, Max = 103.8791 us
IQR = 2.9268 us, LowerFence = 95.3698 us, UpperFence = 107.0768 us
ConfidenceInterval = [99.6586 us; 103.2940 us] (CI 99.9%), Margin = 1.8177 us (1.79% of Mean)
Skewness = -0.4, Kurtosis = 1.55, MValue = 2
-------------------- Histogram --------------------
[ 98.381 us ; 101.122 us) | @@@@@
[101.122 us ; 104.482 us) | @@@@@@@@@@
---------------------------------------------------

Runner.TestStructObject: DefaultJob [N=1000]
Runtime = .NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 87.0805 us, StdErr = 0.5165 us (0.59%); N = 23, StdDev = 2.4769 us
Min = 85.6859 us, Q1 = 86.0342 us, Median = 86.1908 us, Q3 = 87.0882 us, Max = 97.4203 us
IQR = 1.0540 us, LowerFence = 84.4532 us, UpperFence = 88.6692 us
ConfidenceInterval = [85.1220 us; 89.0390 us] (CI 99.9%), Margin = 1.9585 us (2.25% of Mean)
Skewness = 3.19, Kurtosis = 13.31, MValue = 2
-------------------- Histogram --------------------
[85.523 us ; 88.906 us) | @@@@@@@@@@@@@@@@@@@@@
[88.906 us ; 90.822 us) | @
[90.822 us ; 93.871 us) | 
[93.871 us ; 98.182 us) | @
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.17763.503 (1809/October2018Update/Redstone5)
Intel Core i7-7700HQ CPU 2.80GHz (Kaby Lake), 1 CPU, 8 logical and 4 physical cores
.NET Core SDK=2.2.300
  [Host]     : .NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
  DefaultJob : .NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT


|           Method |    N |      Mean |    Error |   StdDev | Ratio | RatioSD |   Gen 0 |   Gen 1 |   Gen 2 | Allocated |
|----------------- |----- |----------:|---------:|---------:|------:|--------:|--------:|--------:|--------:|----------:|
|       TestStruct | 1000 | 101.48 us | 1.818 us | 1.700 us |  1.00 |    0.00 | 58.5938 | 29.4189 | 29.2969 | 184.92 KB |
| TestStructObject | 1000 |  87.08 us | 1.959 us | 2.477 us |  0.86 |    0.04 | 62.5000 |       - |       - | 193.57 KB |

// * Hints *
Outliers
  Runner.TestStructObject: Default -> 6 outliers were removed (106.93 us..124.99 us)

// * Legends *
  N         : Value of the 'N' parameter
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Ratio     : Mean of the ratio distribution ([Current]/[Baseline])
  RatioSD   : Standard deviation of the ratio distribution ([Current]/[Baseline])
  Gen 0     : GC Generation 0 collects per 1000 operations
  Gen 1     : GC Generation 1 collects per 1000 operations
  Gen 2     : GC Generation 2 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 us      : 1 Microsecond (0.000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:53 (53.74 sec), executed benchmarks: 2

Global total time: 00:00:58 (58.39 sec), executed benchmarks: 2
// * Artifacts cleanup *
