// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9
// command took 1.69s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9
// command took 3.39s and exited with 0
// ***** Done, took 00:00:05 (5.24 sec)   *****
// Found 8 benchmarks:
//   Runner.TestStruct: DefaultJob [N=1000]
//   Runner.TestStructObject: DefaultJob [N=1000]
//   Runner.TestClass: DefaultJob [N=1000]
//   Runner.TestStructAndInterface: DefaultJob [N=1000]
//   Runner.TestStruct: DefaultJob [N=10000]
//   Runner.TestStructObject: DefaultJob [N=10000]
//   Runner.TestClass: DefaultJob [N=10000]
//   Runner.TestStructAndInterface: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Runner.TestStruct: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5906f71b-f309-48b3-b226-84c415e579d9.dll" --benchmarkName "BoxingBenchmark.Runner.TestStruct(N: 1000)" --job "Default" --benchmarkId 0 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadWarmup   6: 4096 op, 7100.00 ns, 1.7334 ns/op
OverheadWarmup   7: 4096 op, 7300.00 ns, 1.7822 ns/op
OverheadWarmup   8: 4096 op, 7200.00 ns, 1.7578 ns/op

OverheadActual   1: 4096 op, 7800.00 ns, 1.9043 ns/op
OverheadActual   2: 4096 op, 7600.00 ns, 1.8555 ns/op
OverheadActual   3: 4096 op, 7400.00 ns, 1.8066 ns/op
OverheadActual   4: 4096 op, 7600.00 ns, 1.8555 ns/op
OverheadActual   5: 4096 op, 7600.00 ns, 1.8555 ns/op
OverheadActual   6: 4096 op, 7300.00 ns, 1.7822 ns/op
OverheadActual   7: 4096 op, 7300.00 ns, 1.7822 ns/op
OverheadActual   8: 4096 op, 7400.00 ns, 1.8066 ns/op
OverheadActual   9: 4096 op, 7600.00 ns, 1.8555 ns/op
OverheadActual  10: 4096 op, 7500.00 ns, 1.8311 ns/op
OverheadActual  11: 4096 op, 7300.00 ns, 1.7822 ns/op
OverheadActual  12: 4096 op, 7600.00 ns, 1.8555 ns/op
OverheadActual  13: 4096 op, 7700.00 ns, 1.8799 ns/op
OverheadActual  14: 4096 op, 7100.00 ns, 1.7334 ns/op
OverheadActual  15: 4096 op, 7500.00 ns, 1.8311 ns/op

WorkloadWarmup   1: 4096 op, 871526900.00 ns, 212.7751 us/op
WorkloadWarmup   2: 4096 op, 869947900.00 ns, 212.3896 us/op
WorkloadWarmup   3: 4096 op, 854852400.00 ns, 208.7042 us/op
WorkloadWarmup   4: 4096 op, 860428500.00 ns, 210.0656 us/op
WorkloadWarmup   5: 4096 op, 865884800.00 ns, 211.3977 us/op
WorkloadWarmup   6: 4096 op, 858518900.00 ns, 209.5993 us/op
WorkloadWarmup   7: 4096 op, 860831100.00 ns, 210.1638 us/op
WorkloadWarmup   8: 4096 op, 859695200.00 ns, 209.8865 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 845632100.00 ns, 206.4531 us/op
WorkloadActual   2: 4096 op, 841494200.00 ns, 205.4429 us/op
WorkloadActual   3: 4096 op, 837732700.00 ns, 204.5246 us/op
WorkloadActual   4: 4096 op, 841923900.00 ns, 205.5478 us/op
WorkloadActual   5: 4096 op, 839248200.00 ns, 204.8946 us/op
WorkloadActual   6: 4096 op, 838229400.00 ns, 204.6458 us/op
WorkloadActual   7: 4096 op, 833994700.00 ns, 203.6120 us/op
WorkloadActual   8: 4096 op, 839764600.00 ns, 205.0207 us/op
WorkloadActual   9: 4096 op, 839022900.00 ns, 204.8396 us/op
WorkloadActual  10: 4096 op, 840480500.00 ns, 205.1954 us/op
WorkloadActual  11: 4096 op, 837484000.00 ns, 204.4639 us/op
WorkloadActual  12: 4096 op, 835652900.00 ns, 204.0168 us/op
WorkloadActual  13: 4096 op, 838281900.00 ns, 204.6587 us/op
WorkloadActual  14: 4096 op, 843194600.00 ns, 205.8581 us/op
WorkloadActual  15: 4096 op, 841426100.00 ns, 205.4263 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 845624600.00 ns, 206.4513 us/op
WorkloadResult   2: 4096 op, 841486700.00 ns, 205.4411 us/op
WorkloadResult   3: 4096 op, 837725200.00 ns, 204.5228 us/op
WorkloadResult   4: 4096 op, 841916400.00 ns, 205.5460 us/op
WorkloadResult   5: 4096 op, 839240700.00 ns, 204.8927 us/op
WorkloadResult   6: 4096 op, 838221900.00 ns, 204.6440 us/op
WorkloadResult   7: 4096 op, 833987200.00 ns, 203.6102 us/op
WorkloadResult   8: 4096 op, 839757100.00 ns, 205.0188 us/op
WorkloadResult   9: 4096 op, 839015400.00 ns, 204.8377 us/op
WorkloadResult  10: 4096 op, 840473000.00 ns, 205.1936 us/op
WorkloadResult  11: 4096 op, 837476500.00 ns, 204.4620 us/op
WorkloadResult  12: 4096 op, 835645400.00 ns, 204.0150 us/op
WorkloadResult  13: 4096 op, 838274400.00 ns, 204.6568 us/op
WorkloadResult  14: 4096 op, 843187100.00 ns, 205.8562 us/op
WorkloadResult  15: 4096 op, 841418600.00 ns, 205.4245 us/op
GC:  443 1 0 1401716736 4096

// AfterAll

Mean = 204.9715 us, StdErr = 0.1857 us (0.09%); N = 15, StdDev = 0.7191 us
Min = 203.6102 us, Q1 = 204.5228 us, Median = 204.8927 us, Q3 = 205.4411 us, Max = 206.4513 us
IQR = 0.9183 us, LowerFence = 203.1453 us, UpperFence = 206.8186 us
ConfidenceInterval = [204.2028 us; 205.7403 us] (CI 99.9%), Margin = 0.7688 us (0.38% of Mean)
Skewness = 0.11, Kurtosis = 2.5, MValue = 2

// **************************
// Benchmark: Runner.TestClass: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5906f71b-f309-48b3-b226-84c415e579d9.dll" --benchmarkName "BoxingBenchmark.Runner.TestClass(N: 1000)" --job "Default" --benchmarkId 2 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 324600.00 ns, 324.6000 us/op
WorkloadJitting  1: 1 op, 1287600.00 ns, 1.2876 ms/op

OverheadJitting  2: 16 op, 247700.00 ns, 15.4813 us/op
WorkloadJitting  2: 16 op, 3518500.00 ns, 219.9063 us/op

WorkloadPilot    1: 16 op, 3531300.00 ns, 220.7063 us/op
WorkloadPilot    2: 32 op, 6639400.00 ns, 207.4813 us/op
WorkloadPilot    3: 64 op, 11145500.00 ns, 174.1484 us/op
WorkloadPilot    4: 128 op, 22340100.00 ns, 174.5320 us/op
WorkloadPilot    5: 256 op, 47133500.00 ns, 184.1152 us/op
WorkloadPilot    6: 512 op, 87734200.00 ns, 171.3559 us/op
WorkloadPilot    7: 1024 op, 169535000.00 ns, 165.5615 us/op
WorkloadPilot    8: 2048 op, 355849700.00 ns, 173.7547 us/op
WorkloadPilot    9: 4096 op, 687094300.00 ns, 167.7476 us/op

OverheadWarmup   1: 4096 op, 8100.00 ns, 1.9775 ns/op
OverheadWarmup   2: 4096 op, 7400.00 ns, 1.8066 ns/op
OverheadWarmup   3: 4096 op, 22700.00 ns, 5.5420 ns/op
OverheadWarmup   4: 4096 op, 6900.00 ns, 1.6846 ns/op
OverheadWarmup   5: 4096 op, 7400.00 ns, 1.8066 ns/op
OverheadWarmup   6: 4096 op, 7100.00 ns, 1.7334 ns/op

OverheadActual   1: 4096 op, 7400.00 ns, 1.8066 ns/op
OverheadActual   2: 4096 op, 7800.00 ns, 1.9043 ns/op
OverheadActual   3: 4096 op, 7400.00 ns, 1.8066 ns/op
OverheadActual   4: 4096 op, 7200.00 ns, 1.7578 ns/op
OverheadActual   5: 4096 op, 7100.00 ns, 1.7334 ns/op
OverheadActual   6: 4096 op, 7200.00 ns, 1.7578 ns/op
OverheadActual   7: 4096 op, 7300.00 ns, 1.7822 ns/op
OverheadActual   8: 4096 op, 7400.00 ns, 1.8066 ns/op
OverheadActual   9: 4096 op, 7400.00 ns, 1.8066 ns/op
OverheadActual  10: 4096 op, 7500.00 ns, 1.8311 ns/op
OverheadActual  11: 4096 op, 7300.00 ns, 1.7822 ns/op
OverheadActual  12: 4096 op, 7200.00 ns, 1.7578 ns/op
OverheadActual  13: 4096 op, 7100.00 ns, 1.7334 ns/op
OverheadActual  14: 4096 op, 7500.00 ns, 1.8311 ns/op
OverheadActual  15: 4096 op, 7700.00 ns, 1.8799 ns/op

WorkloadWarmup   1: 4096 op, 626216500.00 ns, 152.8849 us/op
WorkloadWarmup   2: 4096 op, 754136900.00 ns, 184.1155 us/op
WorkloadWarmup   3: 4096 op, 685205300.00 ns, 167.2865 us/op
WorkloadWarmup   4: 4096 op, 704041600.00 ns, 171.8852 us/op
WorkloadWarmup   5: 4096 op, 705024300.00 ns, 172.1251 us/op
WorkloadWarmup   6: 4096 op, 691263100.00 ns, 168.7654 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 685370500.00 ns, 167.3268 us/op
WorkloadActual   2: 4096 op, 696194400.00 ns, 169.9693 us/op
WorkloadActual   3: 4096 op, 688500700.00 ns, 168.0910 us/op
WorkloadActual   4: 4096 op, 703946100.00 ns, 171.8618 us/op
WorkloadActual   5: 4096 op, 699588900.00 ns, 170.7981 us/op
WorkloadActual   6: 4096 op, 711602900.00 ns, 173.7312 us/op
WorkloadActual   7: 4096 op, 704080000.00 ns, 171.8945 us/op
WorkloadActual   8: 4096 op, 706616300.00 ns, 172.5137 us/op
WorkloadActual   9: 4096 op, 688734600.00 ns, 168.1481 us/op
WorkloadActual  10: 4096 op, 686801300.00 ns, 167.6761 us/op
WorkloadActual  11: 4096 op, 708100300.00 ns, 172.8760 us/op
WorkloadActual  12: 4096 op, 708172900.00 ns, 172.8938 us/op
WorkloadActual  13: 4096 op, 704494800.00 ns, 171.9958 us/op
WorkloadActual  14: 4096 op, 689490900.00 ns, 168.3327 us/op
WorkloadActual  15: 4096 op, 712251200.00 ns, 173.8895 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 685363100.00 ns, 167.3250 us/op
WorkloadResult   2: 4096 op, 696187000.00 ns, 169.9675 us/op
WorkloadResult   3: 4096 op, 688493300.00 ns, 168.0892 us/op
WorkloadResult   4: 4096 op, 703938700.00 ns, 171.8600 us/op
WorkloadResult   5: 4096 op, 699581500.00 ns, 170.7963 us/op
WorkloadResult   6: 4096 op, 711595500.00 ns, 173.7294 us/op
WorkloadResult   7: 4096 op, 704072600.00 ns, 171.8927 us/op
WorkloadResult   8: 4096 op, 706608900.00 ns, 172.5119 us/op
WorkloadResult   9: 4096 op, 688727200.00 ns, 168.1463 us/op
WorkloadResult  10: 4096 op, 686793900.00 ns, 167.6743 us/op
WorkloadResult  11: 4096 op, 708092900.00 ns, 172.8742 us/op
WorkloadResult  12: 4096 op, 708165500.00 ns, 172.8920 us/op
WorkloadResult  13: 4096 op, 704487400.00 ns, 171.9940 us/op
WorkloadResult  14: 4096 op, 689483500.00 ns, 168.3309 us/op
WorkloadResult  15: 4096 op, 712243800.00 ns, 173.8876 us/op
GC:  236 114 0 1106804736 4096

// AfterAll

Mean = 170.7981 us, StdErr = 0.6035 us (0.35%); N = 15, StdDev = 2.3375 us
Min = 167.3250 us, Q1 = 168.1463 us, Median = 171.8600 us, Q3 = 172.8742 us, Max = 173.8876 us
IQR = 4.7280 us, LowerFence = 161.0544 us, UpperFence = 179.9662 us
ConfidenceInterval = [168.2992 us; 173.2970 us] (CI 99.9%), Margin = 2.4989 us (1.46% of Mean)
Skewness = -0.23, Kurtosis = 1.33, MValue = 2

// **************************
// Benchmark: Runner.TestStructAndInterface: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5906f71b-f309-48b3-b226-84c415e579d9.dll" --benchmarkName "BoxingBenchmark.Runner.TestStructAndInterface(N: 1000)" --job "Default" --benchmarkId 3 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 290500.00 ns, 290.5000 us/op
WorkloadJitting  1: 1 op, 1679700.00 ns, 1.6797 ms/op

OverheadJitting  2: 16 op, 413200.00 ns, 25.8250 us/op
WorkloadJitting  2: 16 op, 5407600.00 ns, 337.9750 us/op

WorkloadPilot    1: 16 op, 3857800.00 ns, 241.1125 us/op
WorkloadPilot    2: 32 op, 11626800.00 ns, 363.3375 us/op
WorkloadPilot    3: 64 op, 19447800.00 ns, 303.8719 us/op
WorkloadPilot    4: 128 op, 39696300.00 ns, 310.1273 us/op
WorkloadPilot    5: 256 op, 62886100.00 ns, 245.6488 us/op
WorkloadPilot    6: 512 op, 114830200.00 ns, 224.2777 us/op
WorkloadPilot    7: 1024 op, 224512600.00 ns, 219.2506 us/op
WorkloadPilot    8: 2048 op, 439838500.00 ns, 214.7649 us/op
WorkloadPilot    9: 4096 op, 902370100.00 ns, 220.3052 us/op

OverheadWarmup   1: 4096 op, 9000.00 ns, 2.1973 ns/op
OverheadWarmup   2: 4096 op, 7400.00 ns, 1.8066 ns/op
OverheadWarmup   3: 4096 op, 7400.00 ns, 1.8066 ns/op
OverheadWarmup   4: 4096 op, 15100.00 ns, 3.6865 ns/op
OverheadWarmup   5: 4096 op, 7500.00 ns, 1.8311 ns/op
OverheadWarmup   6: 4096 op, 7700.00 ns, 1.8799 ns/op

OverheadActual   1: 4096 op, 7800.00 ns, 1.9043 ns/op
OverheadActual   2: 4096 op, 9100.00 ns, 2.2217 ns/op
OverheadActual   3: 4096 op, 7400.00 ns, 1.8066 ns/op
OverheadActual   4: 4096 op, 7200.00 ns, 1.7578 ns/op
OverheadActual   5: 4096 op, 8100.00 ns, 1.9775 ns/op
OverheadActual   6: 4096 op, 7300.00 ns, 1.7822 ns/op
OverheadActual   7: 4096 op, 7300.00 ns, 1.7822 ns/op
OverheadActual   8: 4096 op, 7300.00 ns, 1.7822 ns/op
OverheadActual   9: 4096 op, 7300.00 ns, 1.7822 ns/op
OverheadActual  10: 4096 op, 7400.00 ns, 1.8066 ns/op
OverheadActual  11: 4096 op, 8400.00 ns, 2.0508 ns/op
OverheadActual  12: 4096 op, 7800.00 ns, 1.9043 ns/op
OverheadActual  13: 4096 op, 7700.00 ns, 1.8799 ns/op
OverheadActual  14: 4096 op, 7800.00 ns, 1.9043 ns/op
OverheadActual  15: 4096 op, 8800.00 ns, 2.1484 ns/op
OverheadActual  16: 4096 op, 8400.00 ns, 2.0508 ns/op
OverheadActual  17: 4096 op, 8000.00 ns, 1.9531 ns/op
OverheadActual  18: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadActual  19: 4096 op, 7500.00 ns, 1.8311 ns/op
OverheadActual  20: 4096 op, 23500.00 ns, 5.7373 ns/op

WorkloadWarmup   1: 4096 op, 1006051500.00 ns, 245.6180 us/op
WorkloadWarmup   2: 4096 op, 1003834000.00 ns, 245.0767 us/op
WorkloadWarmup   3: 4096 op, 955411500.00 ns, 233.2548 us/op
WorkloadWarmup   4: 4096 op, 976209500.00 ns, 238.3324 us/op
WorkloadWarmup   5: 4096 op, 986002500.00 ns, 240.7233 us/op
WorkloadWarmup   6: 4096 op, 914823500.00 ns, 223.3456 us/op
WorkloadWarmup   7: 4096 op, 1053951900.00 ns, 257.3125 us/op
WorkloadWarmup   8: 4096 op, 1120315900.00 ns, 273.5146 us/op
WorkloadWarmup   9: 4096 op, 1050630700.00 ns, 256.5016 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 1048562300.00 ns, 255.9967 us/op
WorkloadActual   2: 4096 op, 1016814200.00 ns, 248.2457 us/op
WorkloadActual   3: 4096 op, 943746900.00 ns, 230.4070 us/op
WorkloadActual   4: 4096 op, 861070000.00 ns, 210.2222 us/op
WorkloadActual   5: 4096 op, 858888200.00 ns, 209.6895 us/op
WorkloadActual   6: 4096 op, 860282900.00 ns, 210.0300 us/op
